"timestamp","sensor","indicators","value"
2020-03-22 10:00:00,"a2","Leq_A",48.86
2020-03-22 10:00:00,"a2","Leq_Z",48.86
2020-03-22 10:00:00,"a3","Leq_A",40
2020-03-22 10:00:00,"a3","Leq_Z",40
2020-03-22 10:00:00,"a4","Leq_A",52.56
2020-03-22 10:00:00,"a4","Leq_Z",52.56
2020-03-22 10:00:00,"a5","Leq_A",51.25
2020-03-22 10:00:00,"a5","Leq_Z",51.25
2020-03-22 10:01:00,"a2","Leq_A",45.07
2020-03-22 10:01:00,"a2","Leq_Z",45.07
2020-03-22 10:01:00,"a3","Leq_A",46.99
2020-03-22 10:01:00,"a3","Leq_Z",46.99
2020-03-22 10:01:00,"a4","Leq_A",47.56
2020-03-22 10:01:00,"a4","Leq_Z",47.56
2020-03-22 10:01:00,"a5","Leq_A",47.59
2020-03-22 10:01:00,"a5","Leq_Z",47.59
2020-03-22 10:02:00,"a2","Leq_A",48.45
2020-03-22 10:02:00,"a2","Leq_Z",48.45
2020-03-22 10:02:00,"a3","Leq_A",38.59
2020-03-22 10:02:00,"a3","Leq_Z",38.59
2020-03-22 10:02:00,"a4","Leq_A",46.85
2020-03-22 10:02:00,"a4","Leq_Z",46.85
2020-03-22 10:02:00,"a5","Leq_A",49.01
2020-03-22 10:02:00,"a5","Leq_Z",49.01
2020-03-22 10:03:00,"a2","Leq_A",47.04
2020-03-22 10:03:00,"a2","Leq_Z",47.04
2020-03-22 10:03:00,"a3","Leq_A",38.3
2020-03-22 10:03:00,"a3","Leq_Z",38.3
2020-03-22 10:03:00,"a4","Leq_A",45.51
2020-03-22 10:03:00,"a4","Leq_Z",45.51
2020-03-22 10:03:00,"a5","Leq_A",49.03
2020-03-22 10:03:00,"a5","Leq_Z",49.03
2020-03-22 10:04:00,"a2","Leq_A",46.86
2020-03-22 10:04:00,"a2","Leq_Z",46.86
2020-03-22 10:04:00,"a3","Leq_A",38.42
2020-03-22 10:04:00,"a3","Leq_Z",38.42
2020-03-22 10:04:00,"a4","Leq_A",48.09
2020-03-22 10:04:00,"a4","Leq_Z",48.09
2020-03-22 10:04:00,"a5","Leq_A",49.37
2020-03-22 10:04:00,"a5","Leq_Z",49.37
2020-03-22 10:05:00,"a2","Leq_A",45.81
2020-03-22 10:05:00,"a2","Leq_Z",45.81
2020-03-22 10:05:00,"a3","Leq_A",41.55
2020-03-22 10:05:00,"a3","Leq_Z",41.55
2020-03-22 10:05:00,"a4","Leq_A",51.12
2020-03-22 10:05:00,"a4","Leq_Z",51.12
2020-03-22 10:05:00,"a5","Leq_A",48.82
2020-03-22 10:05:00,"a5","Leq_Z",48.82
2020-03-22 10:06:00,"a2","Leq_A",46.08
2020-03-22 10:06:00,"a2","Leq_Z",46.08
2020-03-22 10:06:00,"a3","Leq_A",43.24
2020-03-22 10:06:00,"a3","Leq_Z",43.24
2020-03-22 10:06:00,"a4","Leq_A",50.36
2020-03-22 10:06:00,"a4","Leq_Z",50.36
2020-03-22 10:06:00,"a5","Leq_A",46.57
2020-03-22 10:06:00,"a5","Leq_Z",46.57
2020-03-22 10:07:00,"a2","Leq_A",46.63
2020-03-22 10:07:00,"a2","Leq_Z",46.63
2020-03-22 10:07:00,"a3","Leq_A",40.28
2020-03-22 10:07:00,"a3","Leq_Z",40.28
2020-03-22 10:07:00,"a4","Leq_A",45.8
2020-03-22 10:07:00,"a4","Leq_Z",45.8
2020-03-22 10:07:00,"a5","Leq_A",46.7
2020-03-22 10:07:00,"a5","Leq_Z",46.7
2020-03-22 10:08:00,"a2","Leq_A",47.6
2020-03-22 10:08:00,"a2","Leq_Z",47.6
2020-03-22 10:08:00,"a3","Leq_A",53.3
2020-03-22 10:08:00,"a3","Leq_Z",53.3
2020-03-22 10:08:00,"a4","Leq_A",48.01
2020-03-22 10:08:00,"a4","Leq_Z",48.01
2020-03-22 10:08:00,"a5","Leq_A",45.75
2020-03-22 10:08:00,"a5","Leq_Z",45.75
2020-03-22 10:09:00,"a2","Leq_A",46.91
2020-03-22 10:09:00,"a2","Leq_Z",46.91
2020-03-22 10:09:00,"a3","Leq_A",54.24
2020-03-22 10:09:00,"a3","Leq_Z",54.24
2020-03-22 10:09:00,"a4","Leq_A",48.41
2020-03-22 10:09:00,"a4","Leq_Z",48.41
2020-03-22 10:09:00,"a5","Leq_A",47.87
2020-03-22 10:09:00,"a5","Leq_Z",47.87
2020-03-22 10:10:00,"a2","Leq_A",47.67
2020-03-22 10:10:00,"a2","Leq_Z",47.67
2020-03-22 10:10:00,"a3","Leq_A",50.57
2020-03-22 10:10:00,"a3","Leq_Z",50.57
2020-03-22 10:10:00,"a4","Leq_A",48.4
2020-03-22 10:10:00,"a4","Leq_Z",48.4
2020-03-22 10:10:00,"a5","Leq_A",47.93
2020-03-22 10:10:00,"a5","Leq_Z",47.93
2020-03-22 10:11:00,"a2","Leq_A",47.34
2020-03-22 10:11:00,"a2","Leq_Z",47.34
2020-03-22 10:11:00,"a3","Leq_A",48.3
2020-03-22 10:11:00,"a3","Leq_Z",48.3
2020-03-22 10:11:00,"a4","Leq_A",50.7
2020-03-22 10:11:00,"a4","Leq_Z",50.7
